TrackObjects_Label_1,DAPI,NANOG,GATA4,GATA3,BF,X,Y,Z,Lifetime,Area,Embryo_ID,TE_ICM,DAPI_Cor,NANOG_Cor,GATA4_Cor,GATA3_Cor,BF_Cor,Treatment,batch
209,27.93311058333333,8.891601972222222,4.478537461111111,9.373876611111111,34.750613783333336,354.1265152,106.18869644444445,135.5,18,5408,500FGF_2_241223,TE,5.103505182101127,3.4271830017710814,2.2009382755930056,4.291824577324051,3.60840246306563,500ng/ml FGF,Batch 2
210,37.50534739285714,9.734935207142858,4.7648142,10.755225442857142,31.937997699999997,73.42606544142856,356.3136509357143,133.5,14,3211,500FGF_2_241223,TE,5.371995134579903,3.499462722311139,2.2525429381141215,4.398972517020473,3.5231133376212624,500ng/ml FGF,Batch 2
213,27.82117999375,9.714557387500001,4.744691175,10.1745107125,39.39784435625,93.378351605,390.02220944375,135.5,16,4002,500FGF_2_241223,TE,5.099490052959183,3.515700338491901,2.258666835180117,4.373782644290603,3.7339159919817595,500ng/ml FGF,Batch 2
224,31.153125799999998,8.95050745,4.478747875,11.935085975,26.461876549999996,432.88386945,187.002909475,136.5,4,839,500FGF_2_241223,TE,5.225696609205657,3.4429524519593087,2.206163259216413,4.548535853812348,3.3363555039730532,500ng/ml FGF,Batch 2
225,21.97024144285714,8.295318557142856,4.351270685714286,7.812286685714286,29.265639399999998,408.2587059714286,152.92541867142856,140,7,1544,500FGF_2_241223,TE,4.922287081292188,3.399017279253006,2.1954113229363124,4.17780795875138,3.438619218899355,500ng/ml FGF,Batch 2
227,18.176547995,9.458306649999999,4.618009750000001,1.119345815,30.625232935000003,386.995812515,395.378680825,147.5,20,6246,500FGF_2_241223,TE,4.830906006749782,3.598966795377362,2.2937409265458353,2.348614994694369,3.487361464388052,500ng/ml FGF,Batch 2
231,27.3221836,9.105573025,4.50721395,8.4215319,29.927201225,431.4635341,189.05681049999998,141.5,4,848,500FGF_2_241223,TE,5.159931204022761,3.5059613183031724,2.2383888314751967,4.275637828220882,3.461639285723536,500ng/ml FGF,Batch 2
233,18.79099022,8.2421161,4.52653948,6.90318544,27.257799100000003,286.24051426,424.57347624,142,5,1356,500FGF_2_241223,TE,4.792156396062458,3.410916205536851,2.2452562609628948,4.08441057485558,3.3684336407153768,500ng/ml FGF,Batch 2
234,25.801032669565217,8.260457339130435,4.520332013043479,7.920125243478261,31.27832707826087,185.9918964173913,438.5513733695652,152,23,9985,500FGF_2_241223,TE,5.240091502609796,3.5048042917498137,2.2956640313151104,4.37341116025103,3.5104618934876584,500ng/ml FGF,Batch 2
238,18.598147240000003,9.34963426,4.2692002,4.86375136,28.834341879999997,74.218137346,355.3169888,146,5,1141,500FGF_2_241223,TE,4.834200723579515,3.573660986475047,2.2074383718398973,3.7948750664957,3.4264380487840467,500ng/ml FGF,Batch 2
241,11.6222166,6.846937479999999,4.1986915,4.08414206,34.25462022,404.49205934,155.6293173,147,5,1291,500FGF_2_241223,TE,4.377150431099067,3.2712956668651048,2.1959631944599405,3.635338489292965,3.5991361471943315,500ng/ml FGF,Batch 2
245,7.023722725000001,7.0347796,4.278362850000001,1.977279475,38.323519625,430.24946105,189.303911675,149.5,4,1296,500FGF_2_241223,TE,3.906255840597859,3.3212764884086394,2.227705254189497,2.947869388345248,3.71248892631487,500ng/ml FGF,Batch 2
253,14.3945445,9.119240444444445,4.931526155555555,1.1804624888888888,28.8322334,143.57095894444444,393.33667542222224,155,9,3673,500FGF_2_241223,TE,4.695799201416638,3.6312092973319205,2.398259255751289,2.51545604213752,3.4303636025705897,500ng/ml FGF,Batch 2
255,20.443632381818183,7.435817,4.240084727272728,4.681038463636364,47.23231169090909,399.0642193272727,162.25229543636365,159,11,2565,500FGF_2_241223,TE,5.098979142925465,3.463799834799885,2.267909321344381,3.9536377292041625,3.925723694132362,500ng/ml FGF,Batch 2
257,16.574494847058823,7.12414325882353,4.221186476470589,6.409472441176471,50.47326947647059,367.6991399235294,133.1551401235294,164,17,9533,500FGF_2_241223,TE,4.95462365791247,3.466814077355431,2.2893324343915897,4.343678148832721,3.9943106978844547,500ng/ml FGF,Batch 2
260,6.627140600000001,9.196470849999999,4.46073465,0.709716125,28.090712824999997,384.988299075,392.62633315,160.5,4,1208,500FGF_2_241223,TE,3.992126242881174,3.6900583995582403,2.3264053796536666,2.0900838244079534,3.4067523726756064,500ng/ml FGF,Batch 2
261,9.50376354,6.76330768,4.12624148,2.9751008,29.99289282,63.45178824,243.03390698,162,5,1353,500FGF_2_241223,TE,4.372271060769398,3.396504368161136,2.256227668644047,3.5458814366586324,3.4729400239241355,500ng/ml FGF,Batch 2
266,9.132300675,6.091804625,4.180690824999999,1.579982975,50.25055625,441.137883775,286.52314765,166.5,4,1046,500FGF_2_241223,TE,4.391306056064581,3.33318766486717,2.292637929413644,2.9812575407382242,3.9909991888278067,500ng/ml FGF,Batch 2
267,6.039098233333333,6.0070847,4.088050816666666,1.1976364833333333,43.721122933333334,398.2855971166667,164.1849015,168.5,6,2016,500FGF_2_241223,TE,4.00392862207725,3.3375161442760057,2.2805862590441413,2.73452936875343,3.8526978127150544,500ng/ml FGF,Batch 2
268,10.164360647826086,6.271682500000001,4.105500126086956,3.341776760869565,46.35835505652174,209.43441357391305,108.80334424782609,179,23,10441,500FGF_2_241223,TE,4.661999271735057,3.4768690882761604,2.3392144724903012,3.919785719317444,3.915932997657458,500ng/ml FGF,Batch 2
269,10.737316241666667,6.017420100000001,4.1637722083333335,2.567878825,25.573392912499997,294.9414800458333,414.2598550083333,179.5,24,12099,500FGF_2_241223,TE,4.7233813498655834,3.44006697861124,2.3558970085066573,3.663951225220494,3.321307835509808,500ng/ml FGF,Batch 2
270,11.694381400000001,6.787372529999999,4.1809923399999995,1.0082913199999999,27.077769950000004,312.56190335,399.34198913,172.5,10,2827,500FGF_2_241223,TE,4.7171342357605,3.4963046908947617,2.323778064256977,2.623083521341378,3.3753581562904134,500ng/ml FGF,Batch 2
272,9.54775618,6.12230422,4.0270766,6.75565368,38.66937666,397.31572048,207.45772936,171,5,1997,500FGF_2_241223,TE,4.4946988939631,3.379431126810526,2.2785040568160713,4.502384993207919,3.7310254943729575,500ng/ml FGF,Batch 2
