TrackObjects_Label_1,DAPI,SOX2,pERK,BF,OTX2,Cyto_pERK,X,Y,Z,Lifetime,Area,Embryo_ID,TE_ICM,DAPI_Cor,SOX2_Cor,pERK_Cor,BF_Cor,OTX2_Cor,Cyto_pERK_Cor
53,32.13620160296325,1.0013833823940368,3.1854513953006847,14.036033247353394,2.241949841402836,4.984540982472078,375.06629163686006,354.9376722934045,42,53,3356,Emb1_211021,TE,4.265804766520155,0.25934005355363343,1.7767453503388915,2.644583170221622,1.2277284819227274,2.2818897425050846
55,29.37983926152659,0.8314961048194717,6.367956128329119,16.63854060895422,3.087938955070523,4.223269652504024,214.77231435159018,289.15086207501435,43.5,55,2972,Emb1_211021,TE,4.204552676429569,0.08265856939751517,2.4914899290147496,2.8147812507173646,1.562886242621673,2.1402876794245915
56,49.25367260660627,1.1845270795064926,3.229988058039613,15.674180317321252,2.732895968647313,4.137050409157115,141.40182484109292,281.703595375292,44.5,56,3398,Emb1_211021,TE,4.740174598010586,0.442634471307083,1.827422207559469,2.7551448812266175,1.450756473309383,2.135745626630363
59,51.55704712913786,1.0523882513498737,6.715038337433962,16.10482494788245,3.762086595141794,6.42713204252317,141.674965594237,233.5708346715314,45.5,59,3144,Emb1_211021,TE,4.804827536779729,0.33050304170730027,2.573994380920623,2.7823190268269387,1.7803664169377047,2.5923663614196957
62,47.90207538541495,1.5559817286685746,4.5684300283484935,16.685032990619263,2.768595883740811,5.13529015662561,300.1248595010213,114.54873187268916,47,62,2569,Emb1_211021,TE,4.759719698581939,0.7307260731178244,2.2108971588826978,2.8178172806166053,1.4887545653611252,2.392104224617804
64,31.344746286465103,0.9246884574839237,3.6863177186252845,16.188948888712513,2.663722186083098,4.805183984923729,184.11693813780266,286.86502723304653,48,64,4367,Emb1_211021,TE,4.354556699990709,0.21650433237450878,2.0110779828443888,2.787704412600067,1.4601482054760913,2.3417485554931448
65,69.44148366523095,1.3907600367311308,8.952303157643742,16.42331818686637,3.0829492293550915,3.2887029214739045,142.18448565115582,172.96534671771423,47,65,1205,Emb1_211021,TE,5.131044656382905,0.6184774111581917,2.8836276680143054,2.8020074522950287,1.5962972728967328,1.9464720491660685
67,22.485199827209904,0.9732951029562812,1.9322326377090342,16.578219611805427,1.8782456532378016,3.5106835209823335,361.43791239323724,369.7638771770786,50.5,67,2572,Emb1_211021,TE,4.069738741754324,0.2830780589532827,1.4019435523795827,2.8116406769739064,1.1357977344359553,2.0680816722768247
68,74.70642114089578,1.8051796903663844,4.203514091885113,14.934866136965935,3.587916653783259,4.284593383282375,121.08345238155468,244.44287007606746,49.5,68,2626,Emb1_211021,TE,5.251496313991814,0.894619333584804,2.1644431702669507,2.707179871323666,1.7729978565120879,2.251207419420613
69,33.45484219912847,1.2611925668083175,4.2256162455818655,16.68866229669323,2.803092141455279,5.1171251355123,425.00717175350576,263.4196032380093,50,69,2674,Emb1_211021,TE,4.457602482015387,0.5391105778684451,2.1770458598268023,2.818245361414871,1.531161112077872,2.4368127564731017
70,40.658991326924735,0.9467314103654787,3.1742082752359115,15.996238417819578,3.045609036633757,2.9074637594717827,141.9901161052319,206.62102620393014,52,70,3564,Emb1_211021,TE,4.690521535669125,0.2646182508933901,1.9203811138571223,2.776010023425984,1.6341521122998683,1.9036839817420388
71,69.92443988521259,1.36084816609574,4.8814949841508835,15.311024543298405,3.49151824862481,3.681058487705198,122.0822459783012,278.64068486718537,51,71,2696,Emb1_211021,TE,5.213767675599964,0.621294644556939,2.3360462370387682,2.7321596390916225,1.7607756499175446,2.123511947740933
74,69.36515461385515,1.7331165317085173,2.081489496602888,16.87042796733498,1.5199810995269163,3.1199781414216874,338.46984252954644,392.59446029117083,50.5,74,801,Emb1_211021,TE,5.196263075241765,0.8600222205094261,1.4763474416166664,2.8291130750106515,0.9241700050652628,1.9501004811942555
75,37.72128294004172,1.4845627599425861,2.903591481469462,16.710989705693432,2.6510813704078675,3.620518862305664,339.4399790064006,120.62076842749377,52,75,1825,Emb1_211021,TE,4.615526196205019,0.7144401262773479,1.8312742234715178,2.8197227295317786,1.4954237263033934,2.1230134149251048
80,26.73010746809265,1.7333582378197487,2.053606093902919,15.970384410527249,1.558351480388962,3.0548304367843415,440.8639120158032,400.491032036195,56,80,1592,Emb1_211021,TE,4.34688560414265,0.8939287549829403,1.5438059499799754,2.7746732533501444,1.0041432564810149,2.0174613037464124
84,64.17919548361478,1.4225371894994387,6.2702988420363255,15.573342587663753,2.994432686172752,3.0932191724556937,118.21321619498535,200.75263225502061,56.5,84,1259,Emb1_211021,TE,5.23224600040364,0.6993924206382187,2.667358473010308,2.74953312220271,1.6622427799927089,2.0379911662156376
88,17.05749423041432,1.5119749904366253,1.819675463783516,16.228951422484638,1.6923018099326028,2.8683605894234043,428.27440826226143,390.19628669211085,59.5,88,1909,Emb1_211021,TE,3.964005033400125,0.7787813812800433,1.4743830564170453,2.7909795778765996,1.1216274388623761,2.0107740176460265
89,29.36268905037255,0.8269537825485124,1.9301130856871695,14.165450541630275,3.4112318252523686,2.511958898460822,131.49888121199527,221.7220261252723,61.5,89,2948,Emb1_211021,TE,4.545033831865825,0.18769189658344318,1.5627346219130926,2.65513003424909,1.8425976009365868,1.9102692241424664
94,46.42341353137815,1.0372695294336154,4.794012008567257,16.027000193283122,2.775945461923303,3.267571687463101,108.28523109895207,231.51684439002844,64.5,94,4073,Emb1_211021,TE,5.059955903193609,0.43268407196039926,2.516644143329989,2.778808674001935,1.666546378209969,2.221496263893834
95,14.587061536542606,0.7852614251636689,1.0922630405417872,13.335051334762765,1.1320531218423424,2.334801498938035,351.7394027923019,400.20345450354745,62,95,1724,Emb1_211021,TE,3.854921462352495,0.13903593176901075,1.0008060656574436,2.59475563949412,0.7446200815173931,1.8451782388945586
96,31.355882164453995,1.2285423576732777,2.6806987184145656,16.024105832309395,2.23125427587137,2.7096193747782613,368.57044822549636,123.54767852142788,63.5,96,1859,Emb1_211021,TE,4.648606823545864,0.5957661763147392,1.920653280891109,2.7785578703144247,1.43811961278905,2.018179623961644
97,29.516445590534612,1.1751447131255917,2.6675751802470105,16.95855637216378,2.332501822028833,2.552002314637589,420.81886315267167,189.75432807189742,63,97,1974,Emb1_211021,TE,4.578678700046753,0.5482630478282019,1.9083873047405975,2.835200732819293,1.477491196503253,1.9502099984951529
98,45.39358309657949,1.2415654664451572,3.7045688529878675,15.781388239792376,2.337449414647865,2.0295693969909125,113.17667587224658,263.9297435899963,64.5,98,2835,Emb1_211021,TE,5.037522771702401,0.6124494580498525,2.258849519609885,2.7633652452238677,1.4946220808395498,1.745291475941018
99,11.604536198081087,1.1369144063050385,2.1636523915758215,15.17257679335057,2.031598106456712,2.1803253465079995,415.98836218582426,339.74432592805454,65,99,3801,Emb1_211021,TE,3.6830285352656977,0.5274714820098952,1.7284581469449847,2.7240589512107727,1.3593949308849362,1.8249805299219597
101,39.735150896268316,1.5641548050898875,2.15383214598257,16.15698629443252,2.222773506343667,3.342026129405834,286.9134565709965,89.15317048746522,64,101,1120,Emb1_211021,TE,4.894914511213393,0.8403356738564379,1.7091921492262827,2.786851257904588,1.4393156671220706,2.2359837206317907
104,41.539242446672446,1.5074594295928376,2.868064770444229,15.560386930156087,2.441586368559127,2.4633817772034488,337.4497457254415,97.98277537975973,68,104,1447,Emb1_211021,TE,5.015109011124251,0.8279760804895938,2.0544380118409302,2.749508119392476,1.5732360547247812,1.9952882907374856
106,4.1708656027361375,0.5539156156083495,1.042556116967954,14.83600121191167,0.8516172243704724,1.7957684429930492,398.1798691547034,374.2379554898282,78.5,106,5207,Emb1_211021,TE,2.91557021169236,-0.10861395401034663,1.197067043818555,2.702573843894832,0.6251308976521158,1.848083392384984
108,6.550677647194926,0.7185050860855101,0.9989927654254462,14.200686079084916,1.1537782815539521,1.0602798456142082,416.8489747206985,360.7993273258674,76,108,2068,Emb1_211021,TE,3.3196362627656604,0.13615644824264367,1.1175951271011568,2.658632193755937,0.9037401737528925,1.2810118425416708
109,26.574729147332388,0.915202629994474,2.7788350233333583,15.17104752014847,2.3941824170053745,1.3950931628318866,442.79667468012184,208.0919828231223,76,109,1941,Emb1_211021,TE,4.720016990535507,0.37809924957370705,2.1405705426368797,2.7247303075425053,1.6336950553383802,1.555417527356207
113,10.980774788226801,0.658010648136017,1.6450628128734706,14.04647652713373,1.56276040752534,2.004930748517883,433.5842035552648,340.73301507136387,77.5,113,2553,Emb1_211021,TE,3.8646296880949267,0.057426777349602,1.6384178398070548,2.6478188690846642,1.2221412921451846,1.9421700631506724
117,41.864947221665616,1.034291423644223,3.004906674053425,13.501474524838292,1.8972218433589454,1.7521220839294926,197.14456007375756,92.93292591382777,79,117,2040,Emb1_211021,TE,5.231347956459954,0.5188314442641976,2.2629339876978554,2.6083517702038916,1.4310789597976694,1.8315214242068723
118,36.49399502952013,1.1213042561539184,1.8260904148209796,13.285626122481014,2.0158512073778905,1.759711575568998,178.43868104845885,394.77001241863155,81,118,4003,Emb1_211021,TE,5.131943258640851,0.6118788284991357,1.7943205387271153,2.59237608652261,1.5117428630872327,1.868011440677685
119,29.394277335883668,0.8619331771773233,5.819857853412154,13.926132014561185,2.0040931079442883,3.433670957324915,110.991714122176,184.24164121485848,79.5,119,2777,Emb1_211021,TE,4.887174111404082,0.3396264018698021,2.9313057896437185,2.639354814852638,1.4908811868781229,2.512337745536171
121,21.458879223795925,0.662772205726292,1.718420741859448,15.00696026857968,1.891559679993549,1.4618196946987077,261.37243348140134,71.62345152512194,86.5,121,3890,Emb1_211021,TE,4.705150286091092,0.11989115845224263,1.8144966488823768,2.7145927027580297,1.5031505494691122,1.771017175433421
